"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.127721748E2,6.507967244E1,2.545208515E1,3.939068690E0,2.143340013E1,1.420226903E0,2.620119574E0,2.045497650E-1,4.733593297E0,3.378998599E0,-1.000000000E0
1.137721658E2,6.507968487E1,2.545208595E1,3.756920599E0,2.125125684E1,1.418740045E0,2.480526914E0,2.064152546E-1,4.730750421E0,3.382977606E0,-1.000000000E0
1.147721575E2,6.507969767E1,2.545211168E1,4.483030356E0,2.197736836E1,1.373080417E0,1.878254305E1,2.077317532E-1,4.732976728E0,3.379862175E0,-1.000000000E0
1.157721499E2,6.507970949E1,2.545211007E1,5.206782139E0,2.270112502E1,1.365521368E0,8.857896472E0,2.094575457E-1,4.729235655E0,3.385094851E0,-1.000000000E0
1.167721406E2,6.507972481E1,2.545211592E1,5.420180898E0,2.291452908E1,1.478716668E0,5.358376449E0,2.111813097E-1,4.729270652E0,3.385045957E0,-1.000000000E0
1.177721323E2,6.507974002E1,2.545212306E1,5.433622676E0,2.292797595E1,1.493829437E0,3.970812933E0,2.128206178E-1,4.727033216E0,3.388169714E0,-1.000000000E0
1.187721235E2,6.507975460E1,2.545211779E1,5.315512734E0,2.280987243E1,1.505162457E0,2.428665077E0,2.143433228E-1,4.732430020E0,3.380627625E0,-1.000000000E0
1.197721159E2,6.507976820E1,2.545211398E1,5.392955486E0,2.288732104E1,1.439586758E0,2.967957518E0,2.159821623E-1,4.732561970E0,3.380442905E0,-1.000000000E0
1.207721066E2,6.507978292E1,2.545211567E1,5.727672124E0,2.322204328E1,1.429597551E0,5.883657501E0,2.174753802E-1,4.732454847E0,3.380592870E0,-1.000000000E0
1.217720983E2,6.507979634E1,2.545211614E1,6.044176593E0,2.353855299E1,1.387086145E0,5.777318823E0,2.192481475E-1,4.731768226E0,3.381553856E0,-1.000000000E0
1.227720901E2,6.507981222E1,2.545211257E1,5.527048752E0,2.302143187E1,1.456195266E0,7.131338901E-1,2.209524448E-1,4.735002113E0,3.377024137E0,-1.000000000E0
1.237720820E2,6.507982750E1,2.545211528E1,5.253394679E0,2.274778348E1,1.434120300E0,3.167047730E0,2.225317539E-1,4.735010836E0,3.377011906E0,-1.000000000E0
1.247720734E2,6.507984143E1,2.545210871E1,5.226381283E0,2.272077643E1,1.436021543E0,3.572672932E2,2.239657429E-1,4.735580576E0,3.376212914E0,-1.000000000E0
1.257720650E2,6.507985432E1,2.545210965E1,5.021869220E0,2.251626933E1,1.439341164E0,1.497402964E0,2.255322788E-1,4.736496357E0,3.374928043E0,-1.000000000E0
1.267720561E2,6.507986841E1,2.545210974E1,4.805050280E0,2.229945594E1,1.458196662E0,2.487923876E0,2.272552973E-1,4.737765285E0,3.373146474E0,-1.000000000E0
1.277720475E2,6.507988388E1,2.545210766E1,4.752529364E0,2.224694140E1,1.450487849E0,2.940192295E-1,2.287243296E-1,4.737898902E0,3.372958794E0,-1.000000000E0
