"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.185811167E0,3.068319397E0,1.204365509E1,5.813311157E0,1.372074336E1
2.195808167E0,3.833378448E0,1.169892197E1,7.936795349E0,1.464760342E1
2.205804167E0,3.910318451E0,1.167137924E1,7.756570129E0,1.454909152E1
2.215800167E0,3.996988220E0,1.185863983E1,6.687642975E0,1.418900356E1
2.225797167E0,3.969595184E0,1.168964127E1,5.195396118E0,1.339393668E1
2.235793167E0,4.067940674E0,1.125763962E1,3.686982880E0,1.252503229E1
2.245789167E0,4.035907288E0,1.098176331E1,2.633773041E0,1.199268249E1
2.255785167E0,3.332370300E0,1.075618240E1,1.878593445E0,1.141618435E1
2.265782167E0,2.296823730E0,1.053464310E1,1.343306580E0,1.086547638E1
2.275778167E0,1.184486847E0,1.034199371E1,1.024020538E0,1.045984996E1
2.285774167E0,3.308120728E-2,9.954150238E0,8.794212341E-1,9.992976685E0
2.295771167E0,-1.004710693E0,9.323062592E0,6.800358582E-1,9.401669449E0
2.305767167E0,-2.055226135E0,8.549770660E0,7.423063660E-1,8.824599229E0
2.315763167E0,-3.056493988E0,7.705975342E0,1.375040588E0,8.403270083E0
2.325760167E0,-3.467688904E0,7.222480774E0,1.812281342E0,8.214222941E0
2.335756167E0,-3.378025360E0,6.509663086E0,2.064207458E0,7.618905516E0
2.345752167E0,-2.904859314E0,5.753285980E0,3.364553375E0,7.270400719E0
2.355748167E0,-3.285368042E0,5.206622772E0,4.915627899E0,7.878195320E0
2.365745167E0,-5.097350006E0,4.599185944E0,5.067861328E0,8.533387772E0
2.375741167E0,-6.695576477E0,3.837270355E0,4.777165833E0,9.076161167E0
2.385737167E0,-7.181166687E0,3.136727142E0,3.953428802E0,8.777118630E0
2.395733167E0,-7.240742798E0,2.723885651E0,3.367547150E0,8.437314923E0
2.405730167E0,-6.938371582E0,2.379451904E0,3.331472168E0,8.056146621E0
2.415726167E0,-6.785240021E0,1.678010559E0,3.758683777E0,7.936176996E0
2.425722167E0,-6.961273956E0,1.093476105E0,4.149670715E0,8.177700907E0
2.435719167E0,-7.891739044E0,8.487350464E-1,4.270319824E0,9.013075375E0
2.445715167E0,-8.998088379E0,5.384303284E-1,3.937112732E0,9.836480995E0
2.455711167E0,-9.604926453E0,-8.158035278E-2,3.597319336E0,1.025680135E1
2.465707167E0,-1.041354492E1,-7.488926697E-1,2.825224915E0,1.081594443E1
2.475704167E0,-1.091365494E1,-1.380728760E0,2.231709137E0,1.122474061E1
2.485700167E0,-1.098041611E1,-2.341430969E0,2.356399841E0,1.147189858E1
2.495696167E0,-1.090227859E1,-3.480113068E0,2.950065308E0,1.181836498E1
2.505693167E0,-1.073283096E1,-4.414769440E0,3.826642456E0,1.221994444E1
2.515689167E0,-1.146046783E1,-5.441634064E0,5.014123077E0,1.364166905E1
2.525685167E0,-1.265573227E1,-6.666237488E0,5.558990021E0,1.534629113E1
2.535681167E0,-1.344668747E1,-7.698041840E0,5.806126099E0,1.654643020E1
2.545678167E0,-1.352632187E1,-8.474028168E0,6.249953156E0,1.714154168E1
2.555674167E0,-1.339729019E1,-9.272318115E0,6.349945221E0,1.748671130E1
2.565670167E0,-1.315239944E1,-9.633666687E0,6.713090057E0,1.763118609E1
2.575666708E0,-1.252161118E1,-9.146729279E0,7.168293457E0,1.708326181E1
2.585662708E0,-1.208691513E1,-8.791218567E0,7.292535095E0,1.663009649E1
2.595658708E0,-1.198362991E1,-8.939410400E0,6.826554108E0,1.643539732E1
2.605654708E0,-1.123548569E1,-9.049880676E0,6.326444092E0,1.575310680E1
2.615651708E0,-1.091096054E1,-9.104816437E0,6.566095734E0,1.565440371E1
2.625647708E0,-1.105181763E1,-9.321116638E0,6.647975464E0,1.591293392E1
2.635643708E0,-1.058059753E1,-9.274114380E0,6.318211212E0,1.542329519E1
2.645640708E0,-9.605674896E0,-8.847950592E0,6.540648651E0,1.460600235E1
2.655636708E0,-8.983867950E0,-8.530610504E0,6.940916290E0,1.420061681E1
2.665632708E0,-8.378975830E0,-8.317453766E0,6.655908966E0,1.355316927E1
2.675629708E0,-7.615413666E0,-8.079897766E0,6.112239532E0,1.267433412E1
2.685625708E0,-6.333030396E0,-7.667355652E0,5.611231384E0,1.141847338E1
2.695621708E0,-4.991520081E0,-7.087012482E0,5.435047760E0,1.023136173E1
2.705617708E0,-4.018842773E0,-6.474635925E0,5.573809204E0,9.441364131E0
2.715614708E0,-3.153342590E0,-6.023174744E0,6.029461670E0,9.087167409E0
2.725610708E0,-2.479743347E0,-5.651347961E0,6.498885498E0,8.962275022E0
2.735606708E0,-1.986519012E0,-5.281766510E0,6.526727600E0,8.627948100E0
2.745603708E0,-1.506916351E0,-4.941374359E0,6.234834595E0,8.096983381E0
2.755599708E0,-1.085692291E0,-4.837340698E0,6.216871948E0,7.951609246E0
2.765595708E0,-7.887098694E-1,-4.582121429E0,6.851851501E0,8.280444979E0
2.775591708E0,-3.872447205E-1,-4.340823212E0,6.619384918E0,7.925210491E0
2.785588708E0,1.796264648E-3,-4.296066284E0,5.993087311E0,7.373824263E0
2.795584708E0,4.637356567E-1,-4.253854065E0,5.457950134E0,6.935383539E0
2.805580708E0,1.286275177E0,-4.282145233E0,4.993016968E0,6.702349593E0
2.815577708E0,2.375709686E0,-4.515509949E0,4.866529999E0,7.051024099E0
2.825573708E0,3.594175873E0,-4.685107269E0,4.964426422E0,7.714522670E0
2.835569708E0,5.092260590E0,-4.348307648E0,4.941074982E0,8.321845906E0
2.845565708E0,6.638545074E0,-3.691024475E0,5.097200317E0,9.147425510E0
2.855562708E0,7.937394104E0,-3.288361816E0,5.592220917E0,1.025126740E1
2.865558708E0,8.997040558E0,-3.285068665E0,6.383924561E0,1.151055636E1
2.875554708E0,9.819879456E0,-3.409160614E0,7.435936890E0,1.278067158E1
2.885551708E0,1.029514114E1,-3.569028168E0,8.900042267E0,1.406906698E1
2.895547708E0,1.019604721E1,-3.756288757E0,1.026191025E1,1.494576481E1
2.905543708E0,9.939630432E0,-3.930526428E0,1.115435440E1,1.544878355E1
2.915539708E0,9.685159607E0,-3.849395142E0,1.190309738E1,1.582099513E1
2.925536708E0,9.129066010E0,-3.403173065E0,1.226354782E1,1.566256806E1
2.935532708E0,8.484207001E0,-2.737357635E0,1.212643295E1,1.505075651E1
2.945528708E0,7.960895233E0,-1.889371033E0,1.152348679E1,1.413281018E1
2.955525708E0,7.666008453E0,-1.005608826E0,1.054197784E1,1.307334049E1
2.965521708E0,7.402107239E0,-2.073188782E-1,9.912237396E0,1.237281790E1
2.975517708E0,7.054679718E0,5.536985779E-1,8.220006409E0,1.084636314E1
2.985513708E0,7.015311584E0,1.667083282E0,7.124284973E0,1.013652799E1
2.995510708E0,6.726262665E0,2.678679657E0,7.423363037E0,1.036939019E1
3.005506708E0,6.364614716E0,3.327280884E0,8.246501312E0,1.093544249E1
3.015502708E0,6.355034637E0,3.712879028E0,9.336534576E0,1.188876839E1
3.025499708E0,6.405629425E0,3.941902771E0,1.076216995E1,1.312992718E1
3.035495708E0,6.547534332E0,4.037404175E0,1.158875107E1,1.390934900E1
3.045491708E0,6.947203217E0,4.198918304E0,1.136002670E1,1.396226178E1
3.055487708E0,7.381599884E0,4.531826019E0,1.049961594E1,1.361129673E1
3.065484708E0,8.101003876E0,4.985532532E0,9.331145782E0,1.332486698E1
3.075480708E0,8.463400269E0,5.242697754E0,8.378975830E0,1.301238870E1
3.085476708E0,8.692274323E0,5.526208191E0,7.435188446E0,1.270341045E1
3.095472708E0,9.369017029E0,6.221063232E0,7.087162170E0,1.329315521E1
