"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.693486208E0,3.992633799E-1,1.223841605E-1,-5.414821656E0,5.430900726E0
1.703476208E0,5.798701304E-1,-4.541448344E-2,-5.235144905E0,5.267357404E0
1.713466208E0,7.543153775E-1,-1.751214136E-2,-4.758413227E0,4.817862057E0
1.723456208E0,1.045179419E0,4.936521864E-2,-3.824281935E0,3.964841644E0
1.733446208E0,1.253186953E0,-8.117497629E-2,-2.795780675E0,3.064874631E0
1.743437208E0,1.298679022E0,-3.512917994E-1,-1.873154365E0,2.306226443E0
1.753427208E0,1.103220051E0,-5.759166086E-1,-1.310071591E0,1.806948254E0
1.763417208E0,7.271756722E-1,-5.964628474E-1,-1.154735044E0,1.489283522E0
1.773407208E0,4.389193061E-1,-6.235540938E-1,-1.416751117E0,1.608929331E0
1.783397208E0,-8.263950281E-2,-4.412603485E-1,-1.869940735E0,1.923075229E0
1.793388208E0,-1.391498892E0,2.291777072E-1,-3.098751816E0,3.404563761E0
1.803378208E0,-1.106911179E0,3.231420973E-1,-3.380475928E0,3.571734967E0
1.813368208E0,-2.064816007E0,3.457051503E-1,-2.759227976E0,3.463569867E0
1.823358208E0,-2.603225432E0,9.894245367E-2,-2.864359744E0,3.871837936E0
1.833349208E0,-2.368317198E0,6.100310920E-1,-2.187704161E0,3.281328051E0
1.843339208E0,-2.234649556E0,1.074367916E0,-8.024870789E-1,2.606129422E0
1.853329208E0,-2.212424435E0,1.245441731E0,4.443000966E-1,2.577469605E0
1.863319208E0,-2.175782273E0,1.138798019E0,1.599922748E0,2.930979739E0
1.873309208E0,-1.807875172E0,8.521512090E-1,2.265972067E0,3.021457219E0
1.883300208E0,-1.461035004E0,5.040538166E-1,2.600328721E0,3.024963304E0
1.893290208E0,-1.087083198E0,7.892016202E-2,3.110915778E0,3.296327540E0
1.903280208E0,-7.673355918E-1,-3.202026654E-1,3.431249056E0,3.530552894E0
1.913270208E0,-7.911759326E-1,-5.699678707E-1,3.447706044E0,3.582945673E0
1.923260208E0,-1.299891003E0,-5.338848491E-1,2.885463515E0,3.209462470E0
1.933251208E0,-1.909368803E0,-3.126504748E-1,2.005379207E0,2.786572322E0
1.943241208E0,-2.165076314E0,9.959489331E-2,1.299154839E0,2.526910739E0
1.953231208E0,-2.137880768E0,6.743339458E-1,1.001725690E0,2.455344132E0
1.963221208E0,-1.998805036E0,9.535924338E-1,8.650487781E-1,2.377576390E0
1.973211208E0,-2.017880407E0,8.377399421E-1,6.566779858E-1,2.281419630E0
1.983202208E0,-2.064680060E0,7.507228482E-1,5.018635958E-1,2.253520715E0
1.993192208E0,-1.910341341E0,8.448245747E-1,4.411899626E-1,2.134896059E0
2.003182208E0,-1.382745757E0,7.562072441E-1,4.495555741E-1,1.638882375E0
2.013172208E0,-5.102177321E-1,3.075103337E-1,7.668383592E-1,9.710436698E-1
2.023162208E0,4.417602123E-1,-6.366688138E-1,1.167897127E0,1.401600143E0
2.033153208E0,1.453536389E0,-1.559271736E0,1.520293027E0,2.618279448E0
2.043143208E0,2.390685429E0,-2.203665891E0,1.858228177E0,3.744934197E0
2.053133208E0,3.197544325E0,-2.429539738E0,2.267889953E0,4.611971150E0
2.063123208E0,3.452504269E0,-2.347040203E0,2.102971575E0,4.674491725E0
2.073113208E0,2.976824213E0,-2.090792848E0,1.174044304E0,3.822470033E0
2.083104208E0,2.318440594E0,-1.530322463E0,1.963582724E-1,2.784889621E0
2.093094208E0,1.767373556E0,-5.328488687E-1,-2.866474682E-1,1.868074938E0
2.103084208E0,6.988321714E-1,-3.840904400E-2,-1.475290516E0,1.632888167E0
2.113074208E0,-1.035546131E0,-3.935373478E-2,-2.382547420E0,2.598160256E0
2.123064208E0,-2.655232615E0,-5.470808454E-2,-2.373184274E0,3.561636816E0
2.133055208E0,-2.825800573E0,-2.724344219E-1,-2.424944996E0,3.733594465E0
2.143045208E0,-3.896763436E0,-3.304338310E-1,-1.731922472E0,4.277090979E0
2.153035208E0,-2.871769336E0,-8.125489676E-1,-1.248730790E0,3.235216149E0
2.163025208E0,-1.128389976E0,-8.083595838E-1,-1.123774037E0,1.785938756E0
2.173015208E0,2.540323206E-1,-3.731086381E-1,-7.036755663E-1,8.360034559E-1
2.183006208E0,1.095637967E0,-2.507721141E-1,-7.616957331E-1,1.357751670E0
2.192996208E0,1.504980631E0,-1.889223683E-1,-1.383423157E0,2.052929125E0
2.202986208E0,1.763902795E0,1.197356276E-2,-1.969928123E0,2.644260434E0
2.212976208E0,1.580289991E0,2.207985010E-1,-2.482854651E0,2.951378601E0
2.222966208E0,1.119289661E0,4.987324119E-1,-2.828431528E0,3.082461398E0
2.232957208E0,1.365531700E0,1.130874458E0,-2.826681456E0,3.336717236E0
2.242947208E0,1.822869187E0,1.758444127E0,-2.824767662E0,3.793980781E0
2.252937208E0,1.857296424E0,1.812713012E0,-3.177223204E0,4.102465814E0
2.262927208E0,1.548704063E0,1.469065863E0,-3.343326813E0,3.966670261E0
2.272917208E0,1.305588969E0,1.073175011E0,-3.091869058E0,3.523623338E0
2.282908208E0,1.166338698E0,7.669059677E-1,-2.533123748E0,2.892266697E0
2.292898208E0,1.047071578E0,5.644118099E-1,-1.759345914E0,2.123727295E0
2.302888167E0,9.899877698E-1,5.026774917E-1,-1.063819027E0,1.537683767E0
2.312878167E0,8.426364005E-1,6.149050386E-1,-6.370921522E-1,1.222305494E0
2.322868167E0,8.712306006E-1,6.979764314E-1,-3.410780293E-1,1.167282348E0
2.332859167E0,1.393216220E0,8.880387144E-1,-1.074881959E-1,1.655662377E0
2.342849167E0,2.131201347E0,1.083151676E0,4.515927440E-1,2.432935006E0
2.352839167E0,2.639106579E0,8.863095465E-1,1.163015871E0,3.017123475E0
2.362829167E0,2.934335713E0,5.997902054E-1,1.876804782E0,3.534468921E0
